Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Feed and Residual,FSI,Ethanol,Total Domestic,Exports,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticFeed,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticFeed,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticFeed,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticFeed,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticFeed,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticFeed,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticFeed,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,South Korea BeginningStocks,South Korea Production,South Korea Imports,South Korea DomesticFeed,South Korea DomesticTotal,South Korea Exports,South Korea EndingStocks,South Africa BeginningStocks,South Africa Production,South Africa Imports,South Africa DomesticFeed,South Africa DomesticTotal,South Africa Exports,South Africa EndingStocks,Canada BeginningStocks,Canada Production,Canada Imports,Canada DomesticFeed,Canada DomesticTotal,Canada Exports,Canada EndingStocks,Ukraine BeginningStocks,Ukraine Production,Ukraine Imports,Ukraine DomesticFeed,Ukraine DomesticTotal,Ukraine Exports,Ukraine EndingStocks,Egypt BeginningStocks,Egypt Production,Egypt Imports,Egypt DomesticFeed,Egypt DomesticTotal,Egypt Exports,Egypt EndingStocks,Southeast Asia BeginningStocks,Southeast Asia Production,Southeast Asia Imports,Southeast Asia DomesticFeed,Southeast Asia DomesticTotal,Southeast Asia Exports,Southeast Asia EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticFeed,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2008/03/11,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,5950.0,4555.0,3200.0,10505.0,2450.0,12955.0,1438.0,106.17,770.17,92.88,490.90,772.31,94.42,104.03,33.11,332.09,0.38,151.14,266.84,62.23,36.52,1.66,21.50,0.00,4.80,6.70,15.00,1.46,3.72,53.00,0.75,36.00,42.50,9.00,5.97,32.48,145.00,0.10,105.00,148.00,0.50,29.08,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.13,22.50,9.70,16.20,32.00,0.10,3.23,1.35,0.06,8.80,7.00,8.90,0.00,1.31,1.91,11.00,0.25,4.50,9.10,1.50,2.56,1.34,11.65,2.00,9.20,12.70,0.40,1.89,1.07,7.40,0.00,5.00,5.60,1.50,1.37,0.91,5.98,5.00,9.10,11.20,0.00,0.69,1.91,17.44,3.65,15.10,20.95,0.24,1.82,10.08,47.48,10.50,47.10,62.10,0.30,5.65
2008/04/09,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,6150.0,4460.0,3100.0,10610.0,2500.0,13110.0,1283.0,108.20,772.17,92.58,496.20,777.39,95.71,102.97,33.11,332.09,0.38,156.22,269.51,63.50,32.58,1.66,21.50,0.00,4.80,6.70,15.00,1.46,3.58,53.00,0.75,36.00,42.50,9.00,5.83,32.48,145.00,0.10,105.00,148.00,0.50,29.08,1.15,0.00,16.30,11.80,16.50,0.00,0.95,3.48,22.50,9.70,16.20,32.00,0.10,3.58,1.35,0.06,8.80,7.00,8.90,0.00,1.31,1.91,11.00,0.25,4.50,9.10,1.50,2.56,1.34,11.65,2.00,9.20,12.70,0.40,1.89,1.07,7.40,0.00,5.00,5.60,1.50,1.37,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.91,17.94,3.45,15.40,21.25,0.24,1.82,10.08,47.72,11.50,48.10,63.10,0.30,5.90
2008/05/09,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,6150.0,4360.0,3000.0,10510.0,2500.0,13010.0,1383.0,105.46,779.83,94.32,496.52,775.60,99.13,109.69,33.11,332.09,0.38,156.22,266.97,63.50,35.12,1.66,21.50,0.00,4.80,6.70,15.00,1.46,3.58,56.00,0.75,36.00,42.50,11.00,6.83,32.48,145.00,0.10,103.00,146.00,0.50,31.08,1.15,0.00,16.30,11.70,16.40,0.00,1.05,3.08,22.50,9.70,16.20,32.00,0.10,3.18,1.35,0.08,8.80,7.00,8.90,0.00,1.34,1.91,11.50,0.20,4.30,8.70,2.10,2.81,1.34,11.65,2.00,9.40,12.90,0.40,1.69,1.07,7.40,0.02,5.00,5.70,1.00,1.79,0.92,6.17,4.20,8.30,10.40,0.00,0.89,2.01,17.94,3.55,15.30,21.15,0.51,1.84,8.76,48.39,13.00,49.00,61.80,0.35,8.01
2008/06/10,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,6150.0,4360.0,3000.0,10510.0,2450.0,12960.0,1433.0,110.16,789.81,94.82,499.57,778.88,98.56,121.09,33.11,332.09,0.38,156.22,266.97,62.23,36.39,1.66,21.50,0.00,4.80,6.70,15.00,1.46,3.58,58.00,0.75,36.00,42.50,11.00,8.83,36.60,151.83,0.10,105.00,149.00,0.50,39.03,1.15,0.00,16.30,11.70,16.40,0.00,1.05,3.08,22.50,9.70,16.20,32.00,0.10,3.18,1.35,0.08,8.80,7.00,8.90,0.00,1.34,1.91,11.50,0.20,4.30,8.70,2.10,2.81,1.34,11.65,2.50,9.80,13.30,0.60,1.59,1.07,7.40,0.02,5.00,5.70,1.50,1.29,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.76,18.69,3.55,15.75,21.70,0.51,1.79,8.76,48.39,13.00,49.00,61.80,0.35,8.01
2008/07/11,93.6,86.5,151.1,1304.0,13074.0,15.0,14393.0,6050.0,4295.0,2950.0,10345.0,2450.0,12795.0,1598.0,109.86,788.80,95.47,497.50,774.02,99.21,124.64,33.11,332.09,0.38,153.68,262.77,62.23,40.58,1.66,21.00,0.00,4.60,6.50,15.00,1.16,3.58,57.50,0.75,36.00,42.50,11.00,8.33,36.60,151.83,0.10,105.00,149.00,0.50,39.03,1.15,0.00,16.30,11.70,16.40,0.00,1.05,3.08,22.50,9.20,16.20,32.00,0.10,2.68,1.35,0.08,9.10,7.20,9.10,0.00,1.44,1.66,11.50,0.20,4.30,8.70,2.10,2.56,1.34,11.65,2.80,9.90,13.50,0.60,1.69,1.07,7.40,0.02,5.00,5.70,1.50,1.29,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.73,18.69,3.55,15.75,21.70,0.51,1.76,8.76,48.39,13.00,49.00,61.80,0.50,7.86
2008/08/12,93.6,86.5,151.1,1304.0,13074.0,18.0,14396.0,6050.0,4345.0,3000.0,10395.0,2425.0,12820.0,1576.0,108.48,789.15,95.47,497.43,775.17,97.28,122.46,33.11,332.09,0.46,153.68,264.04,61.60,40.02,1.66,21.00,0.00,4.60,6.50,15.50,0.66,3.58,57.50,0.75,36.00,42.50,9.00,10.33,36.60,151.83,0.05,105.00,149.00,0.60,38.88,1.15,0.00,16.60,11.80,16.50,0.00,1.25,3.08,22.65,9.20,16.20,32.00,0.10,2.83,1.35,0.08,9.10,7.20,9.10,0.00,1.44,1.66,12.00,0.20,4.70,9.10,1.50,3.26,1.34,11.65,3.10,10.20,13.80,0.60,1.69,1.07,7.40,0.02,5.00,5.70,2.00,0.79,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.73,18.69,3.15,15.35,21.30,0.51,1.76,7.38,47.32,13.00,48.50,61.50,0.50,5.71
2008/09/12,93.6,86.5,151.1,1304.0,13074.0,18.0,14396.0,6050.0,4345.0,3000.0,10395.0,2425.0,12820.0,1576.0,108.54,790.24,95.57,497.93,775.32,96.83,123.46,33.11,332.09,0.46,153.68,264.04,61.60,40.02,1.66,20.50,0.00,4.60,6.50,15.00,0.66,3.59,58.60,0.75,36.00,42.50,9.00,11.44,36.60,151.83,0.05,105.00,149.00,0.60,38.88,1.15,0.00,16.60,11.80,16.50,0.00,1.25,3.08,22.65,9.20,16.20,32.00,0.10,2.83,1.35,0.08,9.10,7.20,9.10,0.00,1.44,1.66,12.50,0.20,5.00,9.60,1.50,3.26,1.34,11.65,3.20,10.20,13.80,0.75,1.64,1.07,7.40,0.02,5.00,5.70,2.00,0.79,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.73,18.69,3.15,15.35,21.30,0.51,1.76,7.38,47.31,13.00,48.50,61.50,0.50,5.70
2008/10/10,93.6,86.5,151.1,1304.0,13074.0,18.0,14396.0,5999.0,4338.0,3000.0,10336.0,2435.0,12771.0,1624.0,108.69,790.99,95.87,499.88,776.80,95.77,122.88,33.11,332.09,0.46,152.38,262.56,61.85,41.26,1.66,20.50,0.00,5.10,7.00,15.00,0.16,3.59,58.60,0.55,38.00,45.00,7.50,10.24,36.60,151.83,0.05,105.00,149.00,0.60,38.88,1.15,0.00,16.60,11.80,16.50,0.00,1.25,3.08,22.65,9.20,16.20,32.00,0.10,2.83,1.35,0.08,9.10,7.20,9.10,0.00,1.44,1.66,12.50,0.20,5.00,9.60,1.50,3.26,1.34,11.65,3.20,10.35,13.85,0.90,1.45,1.07,7.40,0.02,5.00,5.70,2.00,0.79,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.37,13.50,49.00,62.00,0.50,5.75
2008/11/10,93.6,86.5,151.1,1304.0,13074.0,20.0,14398.0,5974.0,4364.0,3026.0,10338.0,2436.0,12773.0,1624.0,108.69,791.96,96.64,498.39,774.18,95.38,126.47,33.11,332.09,0.51,151.74,262.59,61.87,41.26,1.66,20.85,0.00,5.10,7.00,15.00,0.51,3.59,58.60,0.55,36.00,42.50,7.00,13.24,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,22.65,9.20,16.20,32.00,0.10,2.83,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,12.50,0.20,5.00,9.70,2.00,2.66,1.34,11.65,3.18,10.28,13.84,0.89,1.45,1.07,7.40,0.02,5.00,5.70,2.15,0.64,0.92,6.17,4.20,8.30,10.40,0.00,0.89,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.52,13.50,50.00,63.00,0.50,4.90
2008/12/12,93.6,86.5,151.1,1304.0,13074.0,20.0,14398.0,5974.0,4364.0,3026.0,10338.0,2436.0,12773.0,1624.0,108.82,792.26,96.48,497.66,773.28,95.35,127.80,33.11,332.09,0.51,151.74,262.59,61.87,41.26,1.66,20.85,0.05,5.10,7.00,15.00,0.56,3.59,58.60,0.55,36.00,42.50,7.00,13.24,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,22.65,9.56,16.20,32.00,0.10,3.19,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,13.16,0.20,5.00,9.70,2.00,3.33,1.31,11.65,3.18,10.28,13.84,0.89,1.42,1.07,7.40,0.02,5.00,5.70,2.07,0.72,0.92,6.17,4.15,8.30,10.40,0.00,0.85,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.52,13.50,50.00,63.00,0.50,4.90
2009/01/12,93.5,86.5,150.7,1304.0,13038.0,20.0,14362.0,5938.0,4363.0,3026.0,10302.0,2436.0,12737.0,1624.0,108.85,791.49,96.58,496.48,772.12,95.47,128.22,33.11,331.18,0.51,150.83,261.67,61.87,41.26,1.66,20.85,0.05,5.10,7.00,15.00,0.56,3.59,58.60,0.55,36.00,42.50,7.00,13.24,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,22.65,9.56,16.20,32.00,0.11,3.18,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,13.16,0.20,5.00,9.70,2.00,3.33,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.40,0.02,5.00,5.70,2.07,0.72,0.92,6.17,4.15,8.30,10.40,0.00,0.85,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.67,14.02,50.50,63.50,0.59,4.97
2009/02/10,93.5,86.5,150.7,1304.0,13038.0,20.0,14362.0,5938.0,4363.0,3026.0,10302.0,2436.0,12737.0,1624.0,108.81,791.42,96.68,496.48,772.57,96.02,127.66,33.11,331.18,0.51,150.83,261.67,61.87,41.26,1.66,20.85,0.05,5.10,7.00,15.00,0.56,3.59,58.60,0.60,36.00,42.50,7.50,12.79,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,22.65,9.56,16.20,32.00,0.11,3.18,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,13.16,0.20,5.00,9.70,2.00,3.33,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.40,0.02,5.00,5.70,2.07,0.72,0.92,6.17,4.15,8.30,10.40,0.00,0.85,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.67,14.02,50.50,63.50,0.59,4.97
2009/03/11,93.5,86.5,150.7,1304.0,13038.0,20.0,14362.0,5938.0,4363.0,3026.0,10302.0,2436.0,12737.0,1624.0,108.81,792.97,96.53,495.78,771.82,98.32,129.96,33.11,331.18,0.51,150.83,261.67,61.87,41.26,1.66,22.00,0.05,5.10,7.00,15.00,1.71,3.59,58.60,0.60,36.00,42.50,7.50,12.79,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,23.40,9.56,16.20,32.00,0.11,3.93,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,13.16,0.05,4.30,9.20,2.00,3.68,1.34,11.65,3.18,10.26,13.83,0.89,1.46,1.07,7.40,0.02,5.00,5.70,2.07,0.72,0.92,6.17,4.15,8.30,10.40,0.00,0.85,1.73,18.69,3.15,15.35,21.30,0.55,1.72,7.38,47.67,14.02,50.50,63.50,0.59,4.97
2009/04/09,93.5,86.5,150.7,1304.0,13038.0,20.0,14362.0,5938.0,4363.0,3026.0,10302.0,2436.0,12737.0,1624.0,108.74,790.91,97.04,495.75,770.04,98.34,129.61,33.11,331.18,0.51,150.83,261.67,61.87,41.26,1.66,22.00,0.05,5.10,7.00,15.00,1.71,3.59,58.60,0.60,36.00,42.50,7.50,12.79,36.60,152.30,0.04,105.00,149.00,0.55,39.39,1.15,0.00,16.61,11.80,16.50,0.00,1.26,3.08,23.60,9.56,16.20,32.00,0.11,4.13,1.35,0.08,9.32,7.05,8.64,0.00,2.11,1.66,13.16,0.05,4.30,9.20,2.00,3.68,1.34,11.65,3.18,10.18,13.77,0.94,1.46,1.07,7.40,0.02,5.00,5.70,2.07,0.72,0.92,6.17,4.15,8.30,10.40,0.00,0.85,1.73,18.72,3.10,15.25,21.20,0.59,1.76,7.38,47.67,14.02,50.50,63.50,0.59,4.97
